Nombre,Posicion,Edad,Altura,Origen,Equipo,Partidos_jugados,Titutlar,Minutos,Goles,Asistencias,G+A,G-PK,Goles_penalti,Penaltis_tirados,Amarillas,Rojas,Goles_esperadospor_ocasion,Conducciones,Pases,Altura_cm,GA_por_90
Mike Maignan,Portero,28,"1,91m",fr FRA,Milan,29,29,2609,0,1,1,0,0,0,1,1,0.0,0.0,0.0,191,0.03449597546952856
Marco Sportiello,Portero,32,"1,92m",it ITA,Milan,7,7,630,0,0,0,0,0,0,0,0,0.0,0.0,0.0,192,0.0
Lapo Nava,Portero,20,"1,97m",it ITA,Milan,1,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,197,0.0
Antonio Mirante,Portero,40,"1,93m",it ITA,Milan,2,2,177,0,0,0,0,0,0,0,0,0.0,0.0,0.0,193,0.0
Fikayo Tomori,Defensa central,26,"1,85m",eng ENG,Milan,26,24,2121,4,0,4,4,0,0,8,1,3.7,16.0,63.0,185,0.16973125884016974
Malick Thiaw,Defensa central,22,"1,94m",de GER,Milan,21,19,1619,0,1,1,0,0,0,5,1,0.6,15.0,70.0,194,0.05558987029030266
Pierre Kalulu,Defensa central,24,"1,82m",fr FRA,Milan,9,4,374,0,0,0,0,0,0,0,0,0.1,6.0,19.0,182,0.0
Matteo Gabbia,Defensa central,24,"1,85m",it ITA,Milan,18,14,1275,2,1,3,2,0,0,5,0,1.6,11.0,42.0,185,0.21176470588235294
Marco Pellegrino,Defensa central,21,"1,84m",it ITA,Salernitana,10,5,545,0,0,0,0,0,0,1,0,0.0,0.0,7.0,184,0.0
Mattia Caldara,Defensa central,30,"1,87m",it ITA,Milan,1,0,33,0,0,0,0,0,0,0,0,0.2,0.0,2.0,187,0.0
Theo Hernández,Lateral izquierdo,26,"1,84m",fr FRA,Milan,32,31,2791,5,4,9,4,1,2,11,1,4.9,115.0,166.0,184,0.29021855965603727
Davide Bartesaghi,Lateral izquierdo,18,"1,93m",it ITA,Milan,6,0,79,0,0,0,0,0,0,0,0,0.0,1.0,3.0,193,0.0
Davide Calabria,Lateral derecho,27,"1,76m",it ITA,Milan,29,26,2185,1,3,4,1,0,0,5,2,1.3,31.0,140.0,176,0.16475972540045766
Filippo Terracciano,Lateral derecho,21,"1,86m",it ITA,Hellas Verona,18,14,1296,0,1,1,0,0,0,1,0,0.3,26.0,51.0,186,0.06944444444444445
Alessandro Florenzi,Lateral derecho,33,"1,73m",it ITA,Milan,31,19,1732,1,4,5,1,0,0,5,0,1.7,29.0,106.0,173,0.25981524249422633
Ismaël Bennacer,Pivote,26,"1,75m",dz ALG,Milan,20,13,1151,2,2,4,1,1,1,2,0,1.7,24.0,68.0,175,0.31277150304083406
Yacine Adli,Pivote,23,"1,86m",fr FRA,Milan,24,17,1407,1,2,3,1,0,0,3,0,0.3,30.0,125.0,186,0.19189765458422176
Tijjani Reijnders,Mediocentro,25,"1,85m",nl NED,Milan,36,33,2820,3,3,6,3,0,0,8,0,3.2,88.0,204.0,185,0.19148936170212766
Ruben Loftus-Cheek,Mediocentro,28,"1,91m",eng ENG,Milan,29,26,2068,6,1,7,6,0,0,5,0,3.7,73.0,74.0,191,0.30464216634429403
Yunus Musah,Mediocentro,21,"1,78m",us USA,Milan,30,13,1478,0,2,2,0,0,0,5,0,0.6,48.0,64.0,178,0.12178619756427606
Tommaso Pobega,Mediocentro,24,"1,88m",it ITA,Milan,11,3,319,0,0,0,0,0,0,0,0,0.2,6.0,11.0,188,0.0
Kevin Zeroli,Mediocentro,19,"1,87m",it ITA,Milan,3,0,28,0,0,0,0,0,0,0,0,0.0,0.0,1.0,187,0.0
Rafael Leão,Extremo izquierdo,25,"1,88m",pt POR,Milan,34,29,2512,9,9,18,9,0,0,5,0,10.0,160.0,117.0,188,0.6449044585987261
Noah Okafor,Extremo izquierdo,24,"1,85m",ch SUI,Milan,28,6,887,6,2,8,6,0,0,1,0,3.8,29.0,15.0,185,0.8117249154453212
Christian Pulisic,Extremo derecho,25,"1,77m",us USA,Milan,36,32,2602,12,8,20,12,0,0,2,0,8.0,131.0,87.0,177,0.6917755572636434
Samuel Chukwueze,Extremo derecho,25,"1,72m",ng NGA,Milan,24,12,1017,1,3,4,1,0,0,1,0,1.7,52.0,51.0,172,0.35398230088495575
Francesco Camarda,Delantero centro,16,"1,89m",it ITA,Milan,2,0,14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,189,0.0
Luka Jović,Delantero centro,26,"1,82m",rs SRB,Milan,23,8,877,6,1,7,6,0,0,2,1,4.9,6.0,22.0,182,0.7183580387685291
Lorenzo Colombo,Delantero centro,22,"1,83m",it ITA,Monza,25,16,1359,4,1,5,4,0,0,3,0,3.6,16.0,24.0,183,0.33112582781456956
Olivier Giroud,Delantero centro,37,"1,92m",fr FRA,Milan,35,28,2363,15,8,23,11,4,5,1,1,14.2,9.0,28.0,192,0.8760050782903089
Marco Carnesecchi,Portero,23,"1,91m",it ITA,Atalanta,27,27,2425,0,0,0,0,0,0,0,0,0.0,0.0,0.0,191,0.0
Juan Musso,Portero,30,"1,91m",ar ARG,Atalanta,11,11,990,0,0,0,0,0,0,0,0,0.0,0.0,0.0,191,0.0
Francesco Rossi,Portero,33,"1,93m",it ITA,Atalanta,1,0,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,193,0.0
